id,lon,lat,depth_m,mea_ug_kg_orig
13801,12.296944,44.782778,4.0,100.0
13802,12.296944,44.782778,4.0,100.0
13803,12.296944,44.782778,4.0,100.0
13804,12.296944,44.782778,4.0,100.0
13805,12.296944,44.782778,4.0,100.0
13806,12.296944,44.782778,4.0,100.0
13807,12.296944,44.782778,4.0,200.0
13808,14.8,42.061667,0.0,30.0
13809,14.8,42.061667,0.0,64.0
13810,14.8,42.061667,0.0,85.0
13811,14.8,42.061667,0.0,213.0
13812,14.8,42.061667,0.0,300.0
13813,14.8,42.061667,0.0,490.0
13814,14.8,42.061667,0.0,500.0
13815,14.8,42.061667,0.0,500.0
13816,14.8,42.061667,0.0,640.0
13817,14.8,42.061667,0.0,850.0
13818,14.8,42.061667,0.0,1150.0
13819,14.8,42.061667,0.0,3060.0
13820,12.978611,45.620556,3.0,370.0
13821,12.978611,45.620556,3.0,496.0
13822,12.978611,45.620556,3.0,1000.0
13823,12.978611,45.620556,3.0,2606.0
13824,12.978611,45.620556,3.0,2913.0
13825,12.978611,45.620556,3.0,3460.0
13826,12.978611,45.620556,3.0,3700.0
13827,12.978611,45.620556,3.0,3800.0
13828,12.978611,45.620556,3.0,3800.0
13829,12.978611,45.620556,3.0,4100.0
13830,12.978611,45.620556,3.0,4800.0
13831,12.978611,45.620556,3.0,4800.0
13832,12.978611,45.620556,3.0,5400.0
13833,12.978611,45.620556,3.0,9100.0
13834,12.978611,45.620556,3.0,10600.0
13835,12.978611,45.620556,3.0,12000.0
13836,12.322778,44.481944,9.0,0.03
13837,12.322778,44.481944,9.0,0.03
13838,12.322778,44.481944,9.0,0.03
13839,12.322778,44.481944,9.0,100.0
13840,12.322778,44.481944,9.0,100.0
13841,12.322778,44.481944,9.0,100.0
13842,12.322778,44.481944,9.0,100.0
13843,12.322778,44.481944,9.0,100.0
13844,12.322778,44.481944,9.0,100.0
13845,12.322778,44.481944,9.0,100.0
13846,12.322778,44.481944,9.0,100.0
13847,12.322778,44.481944,9.0,100.0
13848,12.322778,44.481944,9.0,760.0
13849,12.322778,44.481944,9.0,1430.0
13850,15.9,41.596667,0.0,0.12
13851,15.9,41.596667,0.0,107.0
13852,15.9,41.596667,0.0,121.0
13853,15.9,41.596667,0.0,131.0
13854,15.9,41.596667,0.0,180.0
13855,15.9,41.596667,0.0,180.0
13856,15.9,41.596667,0.0,310.0
13857,15.9,41.596667,0.0,390.0
13858,15.9,41.596667,0.0,400.0
13859,15.9,41.596667,0.0,500.0
13860,15.9,41.596667,0.0,510.0
13861,15.9,41.596667,0.0,540.0
13862,15.9,41.596667,0.0,610.0
13863,15.9,41.596667,0.0,710.0
13864,15.9,41.596667,0.0,780.0
13865,15.9,41.596667,0.0,1000.0
13866,15.9,41.596667,0.0,1070.0
13867,15.9,41.596667,0.0,1070.0
13868,15.9,41.596667,0.0,1210.0
13869,15.9,41.596667,0.0,1390.0
13870,15.9,41.596667,0.0,1875.0
13871,15.9,41.596667,0.0,2010.0
13872,15.9,41.596667,0.0,2524.0
13873,15.931944,41.598333000000004,10.0,460.0
13874,15.931944,41.598333000000004,10.0,1150.0
13875,15.931944,41.598333000000004,10.0,1150.0
13876,13.054444,43.8325,4.0,1000.0
13877,13.054444,43.8325,4.0,1000.0
13878,13.054444,43.8325,4.0,1000.0
13879,13.054444,43.8325,4.0,1000.0
13880,13.054444,43.8325,4.0,1200.0
13881,13.054444,43.8325,4.0,1500.0
13882,13.054444,43.8325,4.0,1500.0
13883,13.054444,43.8325,4.0,1500.0
13884,13.054444,43.8325,4.0,1500.0
13885,13.054444,43.8325,4.0,1900.0
13886,13.054444,43.8325,4.0,2000.0
13887,13.054444,43.8325,4.0,2700.0
13888,13.054444,43.8325,4.0,2900.0
13889,13.054444,43.8325,4.0,2900.0
13890,13.054444,43.8325,4.0,3500.0
13891,13.708332999999998,45.71,0.0,80.0
13892,13.708332999999998,45.71,0.0,176.0
13893,13.708332999999998,45.71,0.0,190.0
13894,13.708332999999998,45.71,0.0,210.0
13895,13.708332999999998,45.71,0.0,453.0
13896,13.708332999999998,45.71,0.0,1850.0
13897,13.708332999999998,45.71,0.0,1900.0
13898,13.708332999999998,45.71,0.0,2100.0
13899,13.708332999999998,45.71,0.0,2400.0
13900,13.708332999999998,45.71,0.0,2450.0
13901,13.708332999999998,45.71,0.0,2751.0
13902,13.708332999999998,45.71,0.0,2800.0
13903,13.708332999999998,45.71,0.0,3000.0
13904,13.708332999999998,45.71,0.0,3100.0
13905,13.708332999999998,45.71,0.0,3240.0
13906,13.708332999999998,45.71,0.0,3917.0
13907,13.708332999999998,45.71,0.0,4150.0
13908,13.708332999999998,45.71,0.0,21000.0
13909,15.918332999999999,41.9375,0.0,0.01
13910,15.918332999999999,41.9375,0.0,0.02
13911,13.738610999999999,41.238889,0.0,120.0
13912,13.738610999999999,41.238889,0.0,220.0
13913,13.738610999999999,41.238889,0.0,500.0
13914,13.738610999999999,41.238889,0.0,660.0
13915,13.738610999999999,41.238889,0.0,900.0
13916,13.738610999999999,41.238889,0.0,1680.0
13917,13.738610999999999,41.238889,0.0,1810.0
13918,13.738610999999999,41.238889,0.0,2080.0
13919,13.738610999999999,41.238889,0.0,2300.0
13920,13.738610999999999,41.238889,0.0,2300.0
13921,13.738610999999999,41.238889,0.0,2800.0
13922,13.738610999999999,41.238889,0.0,3000.0
13923,13.738610999999999,41.238889,0.0,6300.0
13924,13.738610999999999,41.238889,0.0,7400.0
13925,13.246667,45.708333,6.0,98.0
13926,13.246667,45.708333,6.0,1200.0
13927,13.246667,45.708333,6.0,1850.0
13928,13.246667,45.708333,6.0,2100.0
13929,13.246667,45.708333,6.0,2240.0
13930,13.246667,45.708333,6.0,2300.0
13931,13.246667,45.708333,6.0,2500.0
13932,13.246667,45.708333,6.0,2590.0
13933,13.246667,45.708333,6.0,2782.0
13934,13.246667,45.708333,6.0,2900.0
13935,13.246667,45.708333,6.0,2900.0
13936,13.246667,45.708333,6.0,8590.0
13937,13.246667,45.708333,0.0,167.0
13938,13.246667,45.708333,0.0,185.0
13939,13.246667,45.708333,0.0,210.0
13940,13.246667,45.708333,0.0,569.0
13941,13.246667,45.708333,0.0,1166.0
13942,12.438333,45.422778,3.0,170.0
13943,12.438333,45.422778,3.0,180.0
13944,12.438333,45.422778,3.0,500.0
13945,12.438333,45.422778,3.0,610.0
13946,12.438333,45.422778,3.0,1380.0
13947,12.438333,45.422778,3.0,2100.0
13948,12.438333,45.422778,3.0,2200.0
13949,12.438333,45.422778,3.0,2800.0
13950,12.438333,45.422778,3.0,2800.0
