id,lat,lon,mea_ug_kg_orig
915,40.596097,14.418904999999999,900.0
916,40.596097,14.418904999999999,1100.0
929,40.705803,17.807381,40.0
930,40.705803,17.807381,60.0
931,40.705803,17.807381,110.0
932,40.705803,17.807381,120.0
933,40.705803,17.807381,160.0
934,40.705803,17.807381,180.0
935,40.705803,17.807381,430.0
978,45.600705,13.580232,15.0
979,45.600705,13.580232,39.0
984,43.109118,3.6934050000000003,40.0
985,43.109118,3.6934050000000003,80.0
1026,39.48673,2.731935,120.0
1027,39.48673,2.731935,240.0
1032,39.48673,2.731935,350.0
1033,39.48673,2.731935,356.0
1037,39.48673,2.731935,490.0
1140,41.194249,16.667513,11.0
1141,41.194249,16.667513,17.0
1142,41.194249,16.667513,23.0
1159,41.293729,17.094867999999998,70.0
1160,41.293729,17.094867999999998,120.0
1161,41.293729,17.094867999999998,330.0
1162,41.293729,17.094867999999998,390.0
1163,41.293729,17.094867999999998,400.0
1164,41.293729,17.094867999999998,420.0
1165,41.293729,17.094867999999998,580.0
1170,42.867463,10.201779,93.0
1171,42.867463,10.201779,129.0
1172,43.021211,10.1699,234.0
1173,43.021211,10.1699,251.0
1174,43.021211,10.1699,519.0
1175,43.021211,10.1699,534.0
1176,43.26578,10.414105000000001,22.0
1177,43.26578,10.414105000000001,49.0
1178,43.390889,10.377074,122.0
1179,43.390889,10.377074,218.0
1198,41.293729,17.094867999999998,10.0
1199,41.293729,17.094867999999998,80.0
1200,41.293729,17.094867999999998,80.0
1201,41.293729,17.094867999999998,90.0
1202,41.293729,17.094867999999998,100.0
1203,41.293729,17.094867999999998,150.0
1204,41.293729,17.094867999999998,250.0
1205,41.293729,17.094867999999998,350.0
1206,41.293729,17.094867999999998,370.0
1207,41.293729,17.094867999999998,410.0
1208,41.293729,17.094867999999998,530.0
1215,40.727140999999996,28.164105,7.4
1288,40.990265,17.509003,40.0
1289,40.990265,17.509003,50.0
1290,40.990265,17.509003,50.0
1291,40.990265,17.509003,110.0
1292,41.188693,16.727899,120.0
1301,34.684531,10.775072,1840.0
1303,40.990265,17.509003,40.0
1304,40.990265,17.509003,50.0
1305,40.990265,17.509003,50.0
1306,40.990265,17.509003,140.0
1308,31.169484999999998,29.832044,125.0
1326,40.990265,17.509003,50.0
1327,40.990265,17.509003,50.0
1328,40.990265,17.509003,50.0
1329,40.990265,17.509003,110.0
1330,39.290966,20.281653,10.0
1331,39.290966,20.281653,10.0
1332,39.290966,20.281653,10.0
1333,39.290966,20.281653,30.0
1334,39.290966,20.281653,50.0
1342,41.368564,17.04895,40.0
1343,41.368564,17.04895,280.0
1344,41.368564,17.04895,310.0
1345,41.368564,17.04895,450.0
1346,41.368564,17.04895,560.0
1347,41.368564,17.04895,600.0
1348,41.368564,17.04895,600.0
1349,41.368564,17.04895,600.0
1350,41.368564,17.04895,630.0
1351,41.368564,17.04895,650.0
1352,41.368564,17.04895,1140.0
1353,41.368564,17.04895,1260.0
1354,41.368564,17.04895,1260.0
1355,41.368564,17.04895,1300.0
1356,41.368564,17.04895,1450.0
1357,41.368564,17.04895,1710.0
1358,41.368564,17.04895,2100.0
1359,41.368564,17.04895,2510.0
1360,41.368564,17.04895,2660.0
1361,41.368564,17.04895,2810.0
1362,41.368564,17.04895,3000.0
1363,41.368564,17.04895,3110.0
1364,41.368564,17.04895,3280.0
1365,41.368564,17.04895,3410.0
1366,41.368564,17.04895,4000.0
1367,41.368564,17.04895,4040.0
1368,41.368564,17.04895,4560.0
1369,41.368564,17.04895,4630.0
1370,41.368564,17.04895,4690.0
1371,41.368564,17.04895,5160.0
1508,41.766346999999996,16.886932,1530.0
1509,38.290778,14.717039000000002,670.0
1512,42.867463,10.201779,239.0
